"agency","variable_name","measurement_value","n","min.date","max.date"
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","AMMONIA TOTAL",0.01,61,2002-02-19,2006-10-16
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","AMMONIA TOTAL",0.015,371,2017-05-15,2022-11-07
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","AMMONIA TOTAL",0.05,582,2006-01-16,2017-04-06
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","CARBON TOTAL ORGANIC (TOC)",0.2,1,2003-01-28,2003-01-28
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","CARBON TOTAL ORGANIC (TOC)",0.5,129,2009-02-09,2022-11-07
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","CARBON TOTAL ORGANIC (TOC)",1,1,2017-07-17,2017-07-17
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","CARBON TOTAL ORGANIC (TOC)",2.5,1,2020-07-07,2020-07-07
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","CHLORIDE DISSOLVED",1,71,2009-03-11,2022-03-08
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","CHLORIDE DISSOLVED",2,1,2011-05-09,2011-05-09
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","CHLORIDE DISSOLVED",10,2,2016-12-08,2016-12-08
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","ESCHERICHIA COLI",1,298,2002-01-17,2022-12-01
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","ESCHERICHIA COLI",2,4,2003-03-27,2005-09-26
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","ESCHERICHIA COLI",4,1,2005-03-01,2005-03-01
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","ESCHERICHIA COLI",10,2,2009-11-19,2010-02-16
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","NITROGEN, NITRATE",0.003,111,2002-05-30,2022-07-11
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","NITROGEN, NITRATE",0.006,1,2021-04-08,2021-04-08
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","NITROGEN, NITRATE",0.015,3,2015-05-26,2021-05-05
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","NITROGEN, NITRATE",0.03,1,2008-09-22,2008-09-22
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","PHOSPHORUS TOTAL (P)",0.003,257,2002-01-21,2022-12-01
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","PHOSPHORUS TOTAL DISSOLVED",0.003,669,2002-01-21,2022-12-01
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","PHOSPHORUS TOTAL DISSOLVED",0.015,4,2017-08-21,2022-01-17
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","TOTAL SUSPENDED SOLIDS (TSS)",0.4,17,2002-02-11,2015-11-05
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","TOTAL SUSPENDED SOLIDS (TSS)",0.6,1,2009-02-09,2009-02-09
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","TOTAL SUSPENDED SOLIDS (TSS)",1,372,2010-11-24,2022-12-13
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","TOTAL SUSPENDED SOLIDS (TSS)",2,1,2010-04-19,2010-04-19
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","TOTAL SUSPENDED SOLIDS (TSS)",2.5,1,2012-10-17,2012-10-17
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","TOTAL SUSPENDED SOLIDS (TSS)",3,1,2005-04-19,2005-04-19
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","TURBIDITY",0.1,25,2016-05-16,2021-04-06
"ALBERTA ENVIRONMENT AND PROTECTED AREAS","TURBIDITY",1,1,2002-01-14,2002-01-14
"CITY OF CALGARY","AMMONIA TOTAL",0.02,60,2003-05-14,2005-03-09
"CITY OF CALGARY","AMMONIA TOTAL",0.04,286,2005-02-09,2013-02-12
"CITY OF CALGARY","AMMONIA TOTAL",0.05,298,2011-04-12,2022-12-15
"CITY OF CALGARY","AMMONIA TOTAL",0.1,92,2013-02-26,2015-04-21
"CITY OF CALGARY","CARBON TOTAL ORGANIC (TOC)",0.2,1,2011-05-25,2011-05-25
"CITY OF CALGARY","ESCHERICHIA COLI",1,97,2003-05-14,2022-11-09
"CITY OF CALGARY","NITROGEN, NITRATE",0.002,1,2005-04-19,2005-04-19
"CITY OF CALGARY","NITROGEN, NITRATE",0.005,10,2015-06-16,2022-09-06
"CITY OF CALGARY","PHOSPHORUS TOTAL (P)",0.002,9,2004-02-04,2008-11-25
"CITY OF CALGARY","PHOSPHORUS TOTAL (P)",0.003,3,2003-08-12,2003-09-09
"CITY OF CALGARY","PHOSPHORUS TOTAL DISSOLVED",0.001,35,2010-09-15,2022-10-13
"CITY OF CALGARY","PHOSPHORUS TOTAL DISSOLVED",0.0015,2,2009-10-14,2009-11-09
"CITY OF CALGARY","PHOSPHORUS TOTAL DISSOLVED",0.002,146,2004-01-13,2009-09-01
"CITY OF CALGARY","PHOSPHORUS TOTAL DISSOLVED",0.003,14,2003-06-10,2003-11-04
"CITY OF CALGARY","TOTAL SUSPENDED SOLIDS (TSS)",0.5,188,2005-04-06,2018-09-11
"CITY OF CALGARY","TOTAL SUSPENDED SOLIDS (TSS)",2,100,2018-10-09,2022-12-15
"ENVIRONMENT CANADA","ESCHERICHIA COLI",1,35,2003-05-07,2006-04-10
"ENVIRONMENT CANADA","ESCHERICHIA COLI",2,235,2003-05-07,2020-03-10
"ENVIRONMENT CANADA","ESCHERICHIA COLI",6,1,2011-05-05,2011-05-05
"ENVIRONMENT CANADA","ESCHERICHIA COLI",10,112,2007-01-24,2015-04-29
"ENVIRONMENT CANADA","PHOSPHORUS TOTAL (P)",0.002,202,2002-03-20,2020-02-04
"ENVIRONMENT CANADA","PHOSPHORUS TOTAL DISSOLVED",0.002,405,2002-01-08,2020-03-10
"ENVIRONMENT CANADA","TOTAL SUSPENDED SOLIDS (TSS)",1,242,2002-01-08,2022-12-06
